,contributor,nb_wf,list_wf
595,helrick,1,{'icgc-argo-workflows/icgc-argo-sv-copy-number'}
596,finnor,1,{'finnor/sample-renamer'}
597,verku,1,{'NBISweden/pipelines-nextflow'}
598,fruce-ki,1,{'ZuberLab/crispr-process-nf'}
599,v-clarissa,1,{'czbiohub/nf-tracer'}
601,agalitsyna,1,{'agalitsyna/RedClib'}
606,archgen,1,{'archgen/ACAD_Nextflow_Pipeline'}
622,mikson60,1,{'aleks96n/BioInfoKallisto'}
608,rcappa1,1,{'nebfield/snpQT'}
610,louisedem,1,{'hugovaysset/ReproHackaton'}
611,fayetteklaassen,1,{'covidestim/dailyFlow'}
612,Guillermo-Gorines,1,{'GuilleGorines/nfcore-pikavirus-legacy'}
614,grendon,1,{'h3abionet/HPCBio-Refgraph_pipeline'}
616,szabogtamas,1,{'szabogtamas/repertoireseq_container'}
617,tbukur,1,{'TRON-Bioinformatics/covigator-ngs-pipeline'}
618,MaddalenaCella,1,{'MaddalenaCella/nf-lcWGS-mapping-and-imputation'}
619,chloea31,1,{'Ilchaffurin/Pipeline-RBMS'}
620,zhumiao1989,1,{'pandora414/dna'}
502,dalmiaa,1,{'dalmiaa/Sample_NF'}
501,m3hdad,1,{'nf-core/rnavar'}
494,jcohenadad,1,{'courtois-neuromod/anat-processing'}
397,palatinate,1,{'philDTU/plasmidPublication'}
381,willemdek11,1,{'ErasmusMC-Bioinformatics/NextFlow-VC-pipeline'}
382,lisemangiante,1,{'lisemangiante/test_nextflow'}
383,Subhodeep13,1,{'Subhodeep13/Nextflow-Fastqc'}
384,baptisteruiz,1,{'AnneCharlotteMichel/Reprohackathon'}
388,xingaulaglag,1,{'laclac102/ampliseq'}
389,zhiaos,1,{'bzhanglab/nf-rnaseq'}
390,oschwengers,1,{'nf-core/modules'}
391,patricksorn,1,{'TRON-Bioinformatics/covigator-ngs-pipeline'}
392,mingxinliu,1,{'mingxinliu/nfp4MBC'}
396,allissadillman,1,{'NCBI-Hackathons/Nasty_Metagenomes'}
398,mbradyneeley,1,{'mbradyneeley/RNASeq_Pipeline'}
376,BrianSanderson,1,{'TheJacksonLaboratory/mmrSVD'}
400,jasmezz,1,{'nf-core/funcscan'}
401,bigmonty12,1,{'bigmonty12/peakCallingBenchmark'}
402,ferygood,1,{'ferygood/nf-STAR-TEtranscript'}
403,bjlang,1,{'cbcrg/nf-phdcourse21'}
404,kusalananda,1,{'sickle-in-africa/saw.structural-variants'}
405,ywilke,1,{'UMCUGenetics/NextflowModules'}
406,adrodrzywolski,1,{'adrodrzywolski/rnaseq_analysis_pipeline'}
408,milescsmith,1,{'milescsmith/gcls-rnaseq-nf'}
409,evaham1,1,{'Streit-lab/streitlab-nf-modules'}
412,JackCurragh,1,{'JackCurragh/riboseq_data_processing'}
377,Nine-s,1,{'Nine-s/workflow_comparison_analysis'}
374,XinHuang87,1,{'NCBI-Hackathons/Nasty_Metagenomes'}
493,anna-saukkonen,1,{'anna-saukkonen/PAC'}
354,jhlegarreta,1,{'scilus/tractoflow'}
342,Thyra,1,{'NAMlab/rnaseq-mapper'}
344,mchimenti,1,{'mchimenti/ATAC_seq_nextflow'}
345,slimnsour,1,{'jerdra/TIGR_PURR'}
346,craigwindell,1,{'eresearchqut/VirReport'}
347,jguhlin,1,{'jguhlin/useful-nextflow-patterns'}
348,cirrina,1,{'cirrina/ctg-rnaseq'}
349,raygozag,1,{'raygozag/rnaseq'}
351,leebrian,1,{'CDCgov/mycosnp-nf'}
352,martinghunt,1,{'oxfordmmm/preprocessing'}
353,kenyon-alexander,1,{'ChadFibke/germ'}
356,joshua-d-campbell,1,{'joshua-d-campbell/nf-GATK_Exome_Preprocess'}
373,shbrief,1,{'seandavi/curatedMetagenomicsNextflow'}
357,lars20070,1,{'OpenMSConsulting/NextflowLFQ'}
358,Niinleslie,1,{'likelet/MesKit'}
359,alakob,1,{'alakob/ena-bracken-annotation'}
361,kalanir,1,{'czbiohub/nf-bowtie'}
363,BatoolMM,1,{'nf-core/modules'}
364,sjsabin,1,{'supark87/minion_hrp2'}
367,myourshaw,1,{'GoalConsortium/goal_misc'}
368,MattHuff,1,{'MattHuff/Nextflow_Pipelines'}
369,YussAb,1,{'YussAb/mergeVCF_MutectStrelka'}
372,lmtani,1,{'lmtani/wf-human-mito'}
414,ErikaKvalem,1,{'nf-core/viralrecon'}
415,IARC-genetics,1,{'IARC-genetics/random_nf_scripts'}
416,klkeys,1,{'nf-core/modules'}
476,cdiener,1,{'Gibbons-Lab/pipelines'}
462,lleroi,1,{'ifremer-bioinformatics/samba'}
463,yonghah,1,{'yonghah/geodata-pipeline'}
464,sb43,1,{'connor-lab/ncov2019-artic-nf'}
465,smlmbrt,1,{'PGScatalog/pgsc_calc'}
466,luiskuhn,1,{'luiskuhn/liverctanalysis'}
467,BenNolann,1,{'BenNolann/rsi_analysis'}
468,mzahm,1,{'cbirbes/NextFlowPipeline'}
470,dianamarek,1,{'biocorecrg/SIB_course_nextflow_Nov_2021'}
471,LeahRoberts,1,{'Vikash84/micropipe'}
474,vincenthhu,1,{'vincenthhu/nf-core-westest'}
478,noahaus,1,{'salvadorlab/mbovpan'}
419,mnagari,1,{'BioinformaticsLabAtMUN/sRNACharP'}
479,prenderj,1,{'evotools/nf-LO'}
480,Eletham,1,{'nf-core/crisprvar'}
481,zhangtong516,1,{'zhangtong516/icpipe-nextflow'}
483,naryamanesh,1,{'naryamanesh/nf-bismarkAlignment'}
485,adamrtalbot,1,{'adamrtalbot/kallisto_nf'}
486,apriltuesday,1,{'EBIvariation/variant-remapping'}
487,pufetin,1,{'genomicsITER/NanoCLUST'}
489,nimarafati,1,{'NBISweden/pipelines-nextflow'}
490,matq007,1,{'nf-core/rnafusion'}
491,lobleya,1,{'lobleya/GATK4_WGS'}
460,wbazant,1,{'wbazant/CORALE'}
459,cvaske,1,{'IARCbioinfo/gatk4-HaplotypeCaller-nf'}
457,radhika-kataria,1,{'cancerbioinformatics/PATCH-pipeline'}
456,matthiasheinig,1,{'matthiasheinig/scworkflows'}
421,canceromics,1,{'canceromics/MeRIPseqPipe'}
422,leipzig,1,{'leipzig/m6a'}
424,letovesnoi,1,{'letovesnoi/clusterassembly'}
427,yassineS,1,{'yassineS/nf-demux'}
429,RaverJay,1,{'replikation/poreCov'}
432,jrkirk61,1,{'HPCBio/16S-rDNA-dada2-pipeline'}
434,Etjean,1,{'Etjean/Long_project'}
436,alam1988,1,{'alam1988/Nextflow'}
437,Clinical-Genomics-Linkoping,1,{'Clinical-Genomics-Linkoping/artic-pangolin-nf'}
438,davideyre,1,{'davideyre/bug-flow'}
439,cahaisv,1,{'IARCbioinfo/strelka2-nf'}
441,herczegrobert,1,{'herczegrobert/ownpipeline'}
443,tbugfinder,1,{'nf-core/airrflow'}
444,ralsallaq,1,{'ralsallaq/metaGx_nf'}
447,FitzsimmonsCM,1,{'FitzsimmonsCM/RNAseq_Nextflow'}
449,ac55-sanger,1,{'connor-lab/ncov2019-artic-nf'}
450,snewhouse,1,{'baiyuanxiang/ngs_nextflow'}
452,MeghanaKB-Rheos,1,{'MeghanaKB-Rheos/rnaseqpca'}
453,mpozuelo-flomics,1,{'mpozuelo/demultiplexing'}
454,jtangrot,1,{'nf-core/ampliseq'}
455,Simontuk,1,{'Simontuk/sprint_covseq'}
1077,elowy01,1,{'elowy01/nf-core-testworkflow'}
